epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,209.251,0.77101,0.36236,0.7786,0.98442,0.97617,0.9932,0.81953,0.63902,0.31914,0.76993,9.4456e-05,9.4456e-05,9.4456e-05
58,213.037,0.71892,0.35238,0.77243,0.98452,0.98244,0.99351,0.83228,0.64418,0.32114,0.77068,9.4357e-05,9.4357e-05,9.4357e-05
59,216.938,0.74855,0.34981,0.7734,0.98477,0.98043,0.99331,0.81332,0.69107,0.32833,0.77386,9.4258e-05,9.4258e-05,9.4258e-05
60,220.778,0.76335,0.36887,0.77367,0.98759,0.98384,0.99236,0.82258,0.62618,0.31496,0.76959,9.4159e-05,9.4159e-05,9.4159e-05
61,224.793,0.72972,0.35019,0.77634,0.98359,0.98249,0.99243,0.82074,0.6748,0.32585,0.77384,9.406e-05,9.406e-05,9.406e-05
62,228.708,0.7713,0.37276,0.77277,0.98351,0.98281,0.99269,0.83034,0.59391,0.30425,0.76666,9.3961e-05,9.3961e-05,9.3961e-05
63,232.639,0.77531,0.35768,0.7756,0.98654,0.97837,0.99249,0.79853,0.67542,0.32865,0.76972,9.3862e-05,9.3862e-05,9.3862e-05
64,236.378,0.73886,0.34903,0.76845,0.98456,0.98558,0.99255,0.83319,0.5945,0.30955,0.76825,9.3763e-05,9.3763e-05,9.3763e-05
65,240.236,0.72813,0.34327,0.77556,0.98529,0.98455,0.99242,0.82762,0.62802,0.31365,0.76878,9.3664e-05,9.3664e-05,9.3664e-05
66,244.077,0.72447,0.34003,0.76772,0.98655,0.98166,0.99243,0.81422,0.62036,0.30438,0.76614,9.3565e-05,9.3565e-05,9.3565e-05
67,247.756,0.74663,0.34419,0.77907,0.98654,0.98136,0.99288,0.82189,0.62896,0.31216,0.76865,9.3466e-05,9.3466e-05,9.3466e-05
68,251.622,0.72762,0.34496,0.77266,0.98859,0.98143,0.9931,0.83767,0.60433,0.30133,0.76841,9.3367e-05,9.3367e-05,9.3367e-05
69,255.597,0.69048,0.33996,0.77942,0.98754,0.97957,0.99326,0.81981,0.65375,0.30944,0.76883,9.3268e-05,9.3268e-05,9.3268e-05
70,259.361,0.71234,0.347,0.77895,0.98657,0.9794,0.99332,0.7998,0.70378,0.32144,0.77041,9.3169e-05,9.3169e-05,9.3169e-05
71,263.187,0.70972,0.34488,0.76847,0.98654,0.97837,0.99314,0.80241,0.68989,0.32734,0.77122,9.307e-05,9.307e-05,9.307e-05
72,267.053,0.67848,0.33099,0.77493,0.99272,0.98351,0.99231,0.84111,0.59054,0.3037,0.76869,9.2971e-05,9.2971e-05,9.2971e-05
73,270.807,0.7414,0.34495,0.7763,0.99067,0.98428,0.99297,0.81315,0.67927,0.32184,0.77288,9.2872e-05,9.2872e-05,9.2872e-05
74,274.534,0.76554,0.35887,0.77765,0.98964,0.98409,0.99372,0.82239,0.64809,0.30795,0.76956,9.2773e-05,9.2773e-05,9.2773e-05
75,278.244,0.72213,0.34668,0.77035,0.99069,0.98586,0.99418,0.84345,0.59378,0.29603,0.76636,9.2674e-05,9.2674e-05,9.2674e-05
76,282.04,0.72079,0.3481,0.76472,0.9848,0.98249,0.99372,0.81997,0.66189,0.31229,0.76924,9.2575e-05,9.2575e-05,9.2575e-05
77,285.814,0.7076,0.33708,0.77318,0.98586,0.98352,0.99388,0.83027,0.62357,0.30336,0.76769,9.2476e-05,9.2476e-05,9.2476e-05
78,289.535,0.68969,0.34218,0.76929,0.98657,0.98354,0.99365,0.84178,0.60132,0.29741,0.7692,9.2377e-05,9.2377e-05,9.2377e-05
79,293.371,0.69301,0.33509,0.76894,0.98698,0.97837,0.99318,0.83618,0.59142,0.30188,0.76788,9.2278e-05,9.2278e-05,9.2278e-05
80,297.237,0.70292,0.336,0.77389,0.99473,0.97203,0.99307,0.83636,0.59882,0.30525,0.76927,9.2179e-05,9.2179e-05,9.2179e-05
81,301.018,0.68675,0.33232,0.77415,0.98656,0.98266,0.99358,0.84617,0.57364,0.29724,0.76842,9.208e-05,9.208e-05,9.208e-05
82,304.872,0.7416,0.35473,0.77283,0.98755,0.98035,0.9925,0.80721,0.64979,0.32198,0.77058,9.1981e-05,9.1981e-05,9.1981e-05
83,308.723,0.70044,0.34005,0.77821,0.9886,0.9827,0.99343,0.83334,0.60177,0.30048,0.76728,9.1882e-05,9.1882e-05,9.1882e-05
84,312.47,0.72663,0.34569,0.76811,0.98553,0.98194,0.99305,0.81203,0.68149,0.32181,0.77205,9.1783e-05,9.1783e-05,9.1783e-05
85,316.165,0.71908,0.34494,0.77282,0.98349,0.98135,0.99295,0.83604,0.59288,0.29792,0.76791,9.1684e-05,9.1684e-05,9.1684e-05
86,319.961,0.68571,0.33398,0.7723,0.98485,0.98043,0.99269,0.80565,0.69279,0.32318,0.7702,9.1585e-05,9.1585e-05,9.1585e-05
87,323.695,0.6832,0.33991,0.77477,0.98861,0.98294,0.99256,0.83328,0.59774,0.29917,0.76592,9.1486e-05,9.1486e-05,9.1486e-05
88,327.389,0.68106,0.33383,0.77637,0.98912,0.97734,0.99254,0.81388,0.63829,0.30799,0.76722,9.1387e-05,9.1387e-05,9.1387e-05
89,331.069,0.72225,0.34842,0.76957,0.98618,0.98146,0.99221,0.82124,0.65913,0.31673,0.76823,9.1288e-05,9.1288e-05,9.1288e-05
90,334.7,0.71354,0.35039,0.76675,0.98858,0.98092,0.99192,0.81194,0.67928,0.32583,0.76993,9.1189e-05,9.1189e-05,9.1189e-05
91,338.401,0.71269,0.33919,0.77229,0.99067,0.98403,0.99286,0.83741,0.5825,0.29091,0.76595,9.109e-05,9.109e-05,9.109e-05
92,342.343,0.69898,0.33484,0.77093,0.98856,0.98558,0.9924,0.82395,0.62016,0.30096,0.76771,9.0991e-05,9.0991e-05,9.0991e-05
93,346.147,0.66423,0.33237,0.7691,0.98964,0.98353,0.9926,0.82145,0.6356,0.31293,0.76898,9.0892e-05,9.0892e-05,9.0892e-05
94,350.059,0.72111,0.35277,0.76487,0.991,0.98455,0.99298,0.82797,0.63459,0.30947,0.7667,9.0793e-05,9.0793e-05,9.0793e-05
95,353.888,0.7056,0.34153,0.77067,0.98931,0.98352,0.99295,0.82946,0.63451,0.30391,0.7681,9.0694e-05,9.0694e-05,9.0694e-05
96,357.842,0.67237,0.32455,0.77771,0.99167,0.98094,0.99088,0.80334,0.64223,0.3186,0.76802,9.0595e-05,9.0595e-05,9.0595e-05
97,361.788,0.7192,0.34617,0.76594,0.9927,0.98017,0.99231,0.82661,0.6061,0.29951,0.76521,9.0496e-05,9.0496e-05,9.0496e-05
98,365.589,0.70063,0.3374,0.773,0.98958,0.97799,0.99249,0.79624,0.75125,0.33372,0.77206,9.0397e-05,9.0397e-05,9.0397e-05
99,369.427,0.69934,0.33885,0.7727,0.99168,0.98196,0.99366,0.84794,0.56437,0.28971,0.76392,9.0298e-05,9.0298e-05,9.0298e-05
100,373.498,0.70549,0.33704,0.77293,0.98539,0.98146,0.99339,0.81622,0.65005,0.31224,0.76775,9.0199e-05,9.0199e-05,9.0199e-05
101,377.407,0.71944,0.33913,0.77759,0.98774,0.98043,0.99302,0.79847,0.6877,0.32114,0.76871,9.01e-05,9.01e-05,9.01e-05
102,381.337,0.72109,0.33616,0.76839,0.98966,0.98352,0.99402,0.84699,0.54442,0.28623,0.76206,9.0001e-05,9.0001e-05,9.0001e-05
103,385.27,0.6552,0.32518,0.77218,0.99169,0.9833,0.99422,0.8348,0.58813,0.29017,0.76444,8.9902e-05,8.9902e-05,8.9902e-05
104,389.155,0.67683,0.32856,0.76749,0.99331,0.9794,0.99413,0.85514,0.5451,0.27587,0.76399,8.9803e-05,8.9803e-05,8.9803e-05
105,393.179,0.64465,0.31571,0.77084,0.9937,0.98146,0.99424,0.855,0.55941,0.28345,0.76471,8.9704e-05,8.9704e-05,8.9704e-05
106,397.098,0.65123,0.31992,0.77276,0.98861,0.9829,0.99374,0.8412,0.60325,0.29626,0.76702,8.9605e-05,8.9605e-05,8.9605e-05
107,401.043,0.6626,0.31924,0.7719,0.98851,0.98249,0.99372,0.84978,0.57814,0.27741,0.76525,8.9506e-05,8.9506e-05,8.9506e-05
108,404.979,0.6638,0.32254,0.77262,0.98656,0.98305,0.99361,0.8428,0.58933,0.28672,0.76555,8.9407e-05,8.9407e-05,8.9407e-05
109,408.913,0.66991,0.32737,0.76823,0.98849,0.98249,0.99357,0.83703,0.60209,0.29448,0.76542,8.9308e-05,8.9308e-05,8.9308e-05
110,412.822,0.65375,0.31877,0.76321,0.98552,0.98122,0.99356,0.82741,0.63317,0.29703,0.76636,8.9209e-05,8.9209e-05,8.9209e-05
111,416.7,0.65777,0.31663,0.76663,0.98801,0.9794,0.9937,0.8447,0.58085,0.28805,0.76498,8.911e-05,8.911e-05,8.911e-05
112,420.612,0.69862,0.33196,0.77341,0.98653,0.9805,0.99358,0.85215,0.55709,0.28022,0.76407,8.9011e-05,8.9011e-05,8.9011e-05
113,424.426,0.64302,0.317,0.77045,0.99064,0.98141,0.99389,0.84745,0.59837,0.29045,0.7659,8.8912e-05,8.8912e-05,8.8912e-05
114,428.365,0.61078,0.30994,0.76954,0.99065,0.98249,0.994,0.82917,0.58952,0.2885,0.76293,8.8813e-05,8.8813e-05,8.8813e-05
115,432.272,0.67472,0.32556,0.76809,0.98864,0.98146,0.99338,0.83654,0.59418,0.29526,0.7654,8.8714e-05,8.8714e-05,8.8714e-05
116,436.264,0.6714,0.31587,0.77572,0.99007,0.97837,0.99305,0.83873,0.5844,0.29122,0.76582,8.8615e-05,8.8615e-05,8.8615e-05
117,440.237,0.65583,0.31821,0.76318,0.98656,0.98307,0.99294,0.83009,0.59978,0.29669,0.76502,8.8516e-05,8.8516e-05,8.8516e-05
118,444.212,0.64729,0.32377,0.76869,0.98795,0.98661,0.99388,0.83628,0.58227,0.2877,0.76521,8.8417e-05,8.8417e-05,8.8417e-05
119,448.148,0.64415,0.31722,0.77252,0.98965,0.98484,0.9939,0.84789,0.5645,0.28724,0.76548,8.8318e-05,8.8318e-05,8.8318e-05
120,452.107,0.65085,0.31741,0.76893,0.99025,0.98558,0.99359,0.83453,0.58467,0.29832,0.76755,8.8219e-05,8.8219e-05,8.8219e-05
121,456.022,0.67727,0.32713,0.76982,0.98959,0.9786,0.99286,0.84021,0.57863,0.30478,0.76887,8.812e-05,8.812e-05,8.812e-05
122,459.867,0.6431,0.30819,0.77386,0.99064,0.98058,0.99213,0.8339,0.58784,0.29811,0.76847,8.8021e-05,8.8021e-05,8.8021e-05
123,463.957,0.64966,0.319,0.77171,0.99272,0.9829,0.99316,0.85241,0.5502,0.28665,0.76461,8.7922e-05,8.7922e-05,8.7922e-05
124,467.907,0.64826,0.31457,0.76318,0.99271,0.98183,0.99318,0.84229,0.57671,0.29625,0.76559,8.7823e-05,8.7823e-05,8.7823e-05
125,471.814,0.64793,0.31458,0.77129,0.99266,0.98558,0.99393,0.84736,0.566,0.28335,0.76345,8.7724e-05,8.7724e-05,8.7724e-05
126,475.699,0.675,0.33364,0.7702,0.99374,0.98352,0.99333,0.84656,0.5793,0.29376,0.76587,8.7625e-05,8.7625e-05,8.7625e-05
127,479.606,0.65525,0.3132,0.76891,0.991,0.98352,0.99386,0.85066,0.53531,0.28276,0.76445,8.7526e-05,8.7526e-05,8.7526e-05
128,483.472,0.68519,0.3296,0.76774,0.99167,0.98122,0.99259,0.81462,0.65244,0.3105,0.77081,8.7427e-05,8.7427e-05,8.7427e-05
129,487.522,0.66005,0.319,0.76889,0.98965,0.98499,0.99366,0.84804,0.55412,0.27976,0.76604,8.7328e-05,8.7328e-05,8.7328e-05
130,491.503,0.63663,0.3195,0.77266,0.98827,0.98146,0.99361,0.82739,0.59701,0.29108,0.76701,8.7229e-05,8.7229e-05,8.7229e-05
131,495.41,0.666,0.32071,0.77349,0.9886,0.98246,0.99383,0.82753,0.5961,0.29969,0.76566,8.713e-05,8.713e-05,8.713e-05
